Job Ref,Title,Employer,Salary,Posted Date,Closing Date,Job Type,Working Pattern,Pay Scheme,Pay Band,Department,Location,Description
374-AJ3523,Sister/Charge Nurse - AMU,"East Sussex Healthcare NHS Trust, Eastbourne DGH, Eastbourne","£31,365 - £37,890 per annum",15/10/2020,29/10/2020,Permanent,• Full time,Agenda for change,6,Medicine,"Eastbourne DGH, Eastbourne","Acute Medical Unit
Sister/Charge Nurse
The Acute Medical Unit is a diagnostic and emergency treatment unit within acute medicine with a varied workload. We are looking for a Sister/Charge nurses with Acute Care experience to complete our team. You will have excellent communication skills and the ability to develop and support students and staff with clinical expertise. The successful applicant will be expected to function effectively under pressure without compromising basic standards of care and professionalism. In return we will offer you excellent managerial support and commitment to your personal professional development.
We pride ourselves on having an integrated, friendly and welcoming team made up of Allied health professionals including Doctors, Nurses and Therapists. We work closely with all the departments and areas within the hospital including with our colleagues from Accident and Emergency, our ambulatory care team and all the ward staff.
We currently assess/triage and admit patients with acute medical conditions from a variety of sources – including GPs, the Emergency Department and Outpatients Clinics.
If you are looking for a challenge, to progress in your career, in an acute fast paced environment– learning clinical skills, learning new life skills, meeting new people or having a positive impact on patient experience – this is the opportunity for you.
We offer:
Revalidation Support/Regular Appraisals
Educational support – courses to enhance both clinical and leadership skills
Career Progression for nurses at all levels.
You will need at least two years’ experience in an acute setting at Band 5 and a Mentorship level 3 or the equivalent to apply. Further Opportunities for education will be available.
For further information or an informal discussion, please contact – Toni Ann Farnes - Matron on 01323 417400 extension 4186"
391-7686-RF-MUC-A,Band 6 Junior Sister / Charge Nurse - Acute Medicine,"Royal Free London NHS Foundation Trust, Royal Free Hampstead, Hampstead","£37,638 - £44,780 per annum inclusive of HCAS",20/10/2020,27/10/2020,Permanent,• Full time,Agenda for change,6,General Medicine,"Royal Free Hampstead, Hampstead","We are delighted to offer a unique opportunity for a compassionate and dynamic Nurse to support the creation of a new team as part of our winter pressure plans. This will be a 6 month secondment or fixed term position for someone looking for their next step and new challenge.
The unit will compromise of 30 acute medicine beds and will be expected to care for acutely unwell adults, patients discharged from ITU and general medical patients. You must have band 6 experience or significant experience in a band 5 position within an acute setting.
You will be encouraged to develop your clinical and leadership skills with particular focus on the management of acutely unwell patients, active involvement in discharge planning and ward management.
The trust has a leadership development programme, which you will be encouraged to attend to support the ward's quality improvement agenda. You will be supported by the Ward Sister, Clinical Practice Educator, senior matron, ward consultants, therapy and nursing team.
For further details / informal visits contact:
Name: Anna Edwards
Job title: Matron
Email address: anna-marie.edwards@nhs.net
Telephone number: 020 7794 0500 Ext. 36536"
J223-A-20-1131,Sister / Charge Nurse,"The London Clinic, London","£40,624 - £44,585",12/10/2020,See advert,Permanent,• Full time,Agenda for change,7,Outpatients,London,None
223-SCN-507,"Sister / Charge Nurse - Ward 28, Nephrology","Shrewsbury and Telford Hospital NHS Trust, The Royal Shrewsbury Hospital, Shrewsbury","£31,365 - £37,890 per annum",09/10/2020,23/10/2020,Permanent,• Full time,Agenda for change,6,General Medicine,"The Royal Shrewsbury Hospital, Shrewsbury","We have an exciting opportunity for an experienced, motivated and enthusiastic nurse wishing to develop their leadership skills as a Band 6 Sister/Charge Nurse on Ward 28 Nephrology.
Ward 28 is a 24 bedded ward specialising in Nephrology. You will also gain experience in caring for patients with a wide range of complex medical conditions as well as patients on dialysis. Previous acute medical experience is essential with a genuine interest in care of Renal patients and providing leadership.
You will have proven organisational skills with evidence of taking charge of a ward/department. You will have demonstrated leadership skills and be an expert communicator with the ability to work with all members of the multidisciplinary team.
You will support and train our junior staff, new starters and agency staff while providing the clinical skills and expertise required for an acute ward. You will be flexible in your approach to the role and respond appropriately to the demands of an ever changing workload. You will also support the ward manager in the management and leadership of the ward.
We can offer the post holder the training, development and support to enable you to become a dynamic and inspirational leader. Throughout this role, you will be supported by the existing Band 6 team, Ward Manager and Matron for you to gain new skills of management.
You will be expected to work some weekend shifts with other Band 6's to ensure there is senior leadership to promote safe effective patient care. Once trained in PD you will be expected to deal with problems arising in Community out of hours.
Ward 28 has a friendly and supportive team, with staff being committed to providing and maintaining high standards of patient care.
Benefits include:
Staff Benefits - Childcare vouchers, Salary sacrifice car scheme, home electronics scheme, Onsite nursery, NHS discounts.
Annual increments
Generous Annual Leave entitlement
NHS Pension Scheme
Staff gym membership
Onsite facilities- Staff car parking, onsite nursery, staff fitness centre.
Opportunities to develop- supportive learning environment, preceptorship, career development."
382-MED335-20,Sister,"Blackpool Teaching Hospitals NHS Foundation Trust, Blackpool","£31,365 - £37,890 per annum",17/10/2020,30/10/2020,Permanent,• Full time,Agenda for change,6,Administration,Blackpool,"What happens next?
Please ensure that you read the person specification (attached below) BEFORE you begin the application, as your application WILL be screened using this specification.
Any invitation to attend an interview will be sent to you via the email address you provide, so please ensure this is correct. If you do not receive a response within three weeks, then you should assume that your application has not been successful on this occasion.
If you are currently employed by another NHS organisation and have been formally notified as being ""at risk"", please notify the recruitment team on 01253 957001 to highlight your application (providing, of course, you meet the essential criteria for the post
After applying via NHS Jobs, your submitted application will be imported into our preferred Third-party recruitment system. All subsequent information regarding your application will be generated from apps.trac.jobs. You will not be able to track the progress of your application or receive messages through the NHS Jobs website, and furthermore, as an employer, we will not be able to respond to any e-mails sent to us via the NHS Jobs website. By applying for this post you are agreeing to ""name of trust"" transferring the information contained in this application to its preferred applicant management system. If you are appointed to a post information will also be transferred into the national NHS Electronic Staff Records system.

Please note that in line with national NHS guidelines, this Trust operates a strict non-smoking policy. Members of staff are not permitted to smoke on Trust premises or grounds at any time, nor take breaks during working hours for the purposes of smoking.
The Trust does not offer interview expenses to shortlisted candidates unless indicated in the advert."
001-NMR356-1020,"Deputy Ward Sister/Charge Nurse, Seasonal Ward Heulwen","Cardiff and Vale University Health Board, University Hospital of Wales, Cardiff","£31,365 - £37,890 per annum",08/10/2020,22/10/2020,Secondment (7 months),• Full time,Agenda for change,6,Medicine,"University Hospital of Wales, Cardiff","THIS POST IS SECONDMENT FOR 6 MONTHS WITH OPPORTUNITY FOR EXTENSION TO MEET THE NEEDS OF THE SERVICE
IF YOU ARE INTERESTED IN APPLYING FOR THE SECONDMENT POSITION, YOU MUST OBTAIN PERMISSION FROM YOUR CURRENT LINE MANAGER PRIOR TO APPLYING FOR THIS POST.
An exciting opportunity has arisen for an enthusiastic, energetic and passionate nurse leader to join Cardiff and Vale's Seasonal Ward as a Deputy Ward Sister/ Charge Nurse, this ward currently cares for a variety of medical patients including COVID-19 patients.
Heulwen North cares for patients who are suspected or confirmed of COVID-19, supporting their care and treatment, including the delivery of CPAP/NIV. Heulwen North is fast paced with a high turn over of patients, but provides a safe and rewarding environment for patients.
Heulwen South, separate from the North, cares for Acute and general medical patients with broad care needs. This area again is fast paced with a high discharge profile and inter-hospital transfers.
We shall ensure that you are provided with a robust induction and necessary training to fulfill your role.
This post is for 6 month secondment with the potential to be extended dependent on service need, which will be reviewed at regular intervals.
The position is open to Band 5 and Band 6 Registered Nurses.
Please ensure that you have prior agreement from your line manager to apply for this post.
The ability to speak Welsh is desirable for this post; Welsh and/or English speakers are equally welcome to apply.
  Closing date: 22nd October 2020
For further details / informal visits contact:
Kate Matchett
Ward Sister, Heulwen Ward
University Hospital of Wales.
Tel:02920744657
Email: Kate.Matchett@Wales.nhs.uk
  David Pitchforth
Senior Nurse, Integrated Medicine
University Hospital of Wales
Tel: 02920743588
Email: David.Pitchforth@wales.nhs.uk"
279-MEC4487,Sister/Charge Nurse Adult and Paediatric or dual Trained,"Western Sussex Hospitals NHS Foundation Trust, St Richards, Chichester","£31,365 - £37,890 per annum pro rata",16/10/2020,29/10/2020,Permanent,• Full time,Agenda for change,6,Accident and Emergency,"St Richards, Chichester","Are you a dynamic, motivated and flexible nurse, with relevant A&E experience and qualifications?
Are you looking for the opportunity to grow and develop both personally and professionally and enjoy empowering others to succeed?
St Richards Accident and Emergency Team are looking for Band 6 Nurses, as passionate about delivering quality patient care as we are who want to make a difference to patients and their families on what can often be the worst day of their lives.
We are looking for someone who will bring a positive attitude to the Trust and have a flexible approach to working. You must have excellent communication and organisational skills and be able to motivate and inspire the staff team and be a team worker.
We receive a wide variety of Emergency patients, including Trauma, Medical/Surgical Admissions, Gynaecology, Maternity and Paediatrics. We have a dedicated Stroke service with specialised training and development available. We have a well-developed Emergency Nurse Practitioner team who work closely with staff to develop and enhance their knowledge and skills in minor injury management and treatment.
We recognise that Mental Health is a challenge within A&E and have a dedicated Mental health liaison team that work closely with A&E/CDU and would welcome staff with experience of mental health or a dual trained qualification.
We are a supportive and encouraging department with close links to Brighton University and are supported by our dedicated Practice Development Nurse. We are keen to support new staff with a two week supernumerary induction and have a buddying and mentoring system to ensure that you settle in to your new role as smoothly as possible.
Full and Part time hours available
We look forward to meeting you and reading your application.
If you would like to find out more through an informal visit we would love to introduce you to our team and give you a tour of our department.
For more information please contact Katrina Evans - Recruitment Sister on 01243 788122 ext 32861 or Stephanie Walford - Practice Educator.
        For further details / informal visits contact:
NameKatrina EvansJob titleRecruitment Senior SisterEmail addresskatrina.evans2@nhs.netTelephone number01243 788122 ext 33405Additional contact information
  Stephanie Walford - Practice Educator
Stephanie.walford@nhs.net Ext 33405"
326-2681405-SL,ED Paediatirc Band 6 Sister/Charge Nurse,"Surrey and Sussex Healthcare NHS Trust, East Surrey Hopsital, Redhill","32,933 - 39,681 Inc of high cost allowance",12/10/2020,23/10/2020,Permanent,• Full time,Agenda for change,6,Paediatric Accident and Emergency,"East Surrey Hopsital, Redhill","We are proud of our diverse workforce and actively encourage applications irrespective of age, disability, gender, race and ethnicity, religion or belief and sexual orientation. We can make reasonable adjustments and offer support and advice in a variety of ways throughout the application process.
Staff benefits include on-site car parking for staff, Boots and WHSmith shops, restaurant facilities, full educational library services, on-site nursery at East Surrey Hospital and excellent rail and bus links. Metrobus are offering all new staff one month's free travel to East Surrey Hospital when they first join (please contact the company for details and Terms & Conditions). We also participate in a car sharing scheme and provide lockable storage for cycles.
Successful candidates will be appointed to the first pay step within the band when they start with the Trust (unless they have previous relevant NHS continuous service), thereafter individuals will progress up the pay steps in accordance with Agenda for change terms and conditions. For part time roles you will receive a pro rata'd (proportional) salary payment based on the appropriate pay step/point and hours worked in accordance with AfC and all medical & dental terms and conditions.
Surrey and Sussex Healthcare NHS Trust operate a 24 hour 365 day a year service and all nursing, clinical and operational roles will require staff to work 24/7 shifts (if required) unless you are specifically advised otherwise as part of the recruitment process.
On rare occasions some vacancies may expire before the advertised closing date.
Due to the volume of applications received we are unlikely to advise individual applicants if they have not been shortlisted. If we have not been in contact within four weeks of the closing date please consider that your applications has been unsuccessful."
391-7699-TASS-A,Band 6 Junior Sister,"Royal Free London NHS Foundation Trust, Tottenham Hale Kidney and Diabetese Centre, Tottenham Hale","£36,070 - £42,712 per annum inclusive of HCAS",16/10/2020,30/10/2020,Fixed term (12 Months),• Full time,Agenda for change,6,Renal Technology,"Tottenham Hale Kidney and Diabetese Centre, Tottenham Hale","We currently have a vacancy in Tottenham Hale Kidney and Diabetes Centre for Band 6 Junior sister/ Charge Nurse with an interest in renal nursing to join a friendly and committed team on Tottenham Hale Dialysis Unit (a 47-station) Haemodialysis satellite units of the Royal Free NHS Foundation Trust.
We are passionate about providing only the best for our renal patients and are looking to recruit a dynamic and enthusiastic renal nurse. This is an excellent opportunity for a renal nurse to gain management experience. The post holder will work collaboratively with the MDT, medical andnursing teams to deliver safe, high quality, and effective care.
We require a nurse with substantive hemodialysis experience, with a post registration qualification in renal nursing and be in possession of a recognized mentorship course or qualification
For further details / informal visits contact:
Name:Lizzy John
Email address: lizzyjohn@nhs.net
Telephone number: 020 7794 0500 Ext 50511"
J181-A-20-50028,St Helena Hospice - Matron - Hospice in the Home,"Central Advertising - Social Enterprises, Colchester","40,000- 41,000",19/10/2020,31/10/2020,Permanent,• Full time,Other,None,Palliative Medicine,Colchester,Apply for this job
